Kod SZS,Rodzaj stacji,rząd stacji,typ stacji,rok założenia,rok likwidacji,nazwa stacji,długość geograficzna,szerokość geograficzna,informacje dodatkowe
251160120,O,V,Zlikwidowana,1949,2015,WIEWIERZ,164304,513737,stację zlikwidowano 1.01.2015; w 02.2014 przeniesiona 200 m na NE (stare wso. 164257 i 513734);
252180050,O,V,Czynna,1947,0,WIĘCŁAWICE,181809,525042,01.01.2018 przeniesiono stację ok. 370 m w kierunku NW (stare wsp. 181817 i 525031)
253229992,O,V,Zlikwidowana,1948,1992,WIKTORZYN,2213,5311, 
251190030,O,V,Zlikwidowana,1955,2015,WILANÓW,193133,514930,stację zlikwidowano 1.01.2015
250210170,O,V,Czynna,1953,0,WILCZA WOLA,215555,502029,"ATSO bez obserwatora;  stacja Wilcza Wola działała w latach 1953-1992, a następnie wznowiona w roku 2006 z tym samym kodem  w bliskiej lokalizacji"
251210030,O,V,Zlikwidowana,1948,2009,WILGA,212238,515108, 
254210060,O,V,Zlikwidowana,1949,2015,WILKOWO,211821,540027,stację zlikwidowano 1.01.2015
252170230,O,V,Czynna,1975,0,WINNA GÓRA,172655,521217, 
252200050,O,V,Czynna,1949,0,WINNICA,205610,523835, 
251169999,K,IV,Zlikwidowana,1955,1979,WIŃSKO,1637,5128, 
249180230,K,IV,Czynna,1947,0,WISŁA,185141,493917, 
249180250,O,V,Czynna,1949,0,WISŁA-GŁĘBCE,185238,493742, 
249180240,O,V,Czynna,1956,0,WISŁA-MALINKA,185803,493841, 
249189988,O,V,Zlikwidowana,1952,1992,WISŁA-PRZYSŁUP,1859,4936, 
249189992,O,V,Zlikwidowana,1958,1992,WISŁA-STOŻEK,1850,4936, 
249180040,O,V,Czynna,1956,0,WISŁA WIELKA,184920,495630, 
249210190,O,V,Czynna,1983,0,WISŁOCZEK,215156,493003, 
249210270,O,V,Czynna,1948,0,WISŁOK WIELKI,215957,492243, 
251230030,O,V,Czynna,1949,0,WISZNICE,231215,514719,10.08.2017 - stacja przeniesiona ok. 60 m w kierunku SSE (stare wsp. 231214 i 514721); 21.10.2015 - deszczomierz przeniesiony o 43 m w kier. SW (stare wsp. 2311216 i 514722)
250209992,O,V,Zlikwidowana,1948,1997,WIŚLICA,204100,502100, 
252219987,O,V,Zlikwidowana,1949,1995,WIŚNIEWO,2142,5245, 
251170030,K,IV,Czynna,1947,0,WITASZYCE,173312,515644, 
